Country,Annual Active Users 2025,Pinterest Monthly Users 2024
United States of America,96900000,85000000
Brazil,42200000,30000000
Mexico,28500000,20000000
Germany,22700000,17000000
France,18300000,15000000
United Kingdom,15500000,13000000
Argentina,11900000,9000000
Canada,11100000,10000000
Italy,10900000,9000000
Colombia,10900000,8000000
Netherlands,10500000,5000000
Spain,10300000,8000000
Japan,9200000,7000000
Poland,7400000,6000000
Australia,5700000,5000000
Chile,5400000,4000000
Romania,3500000,2000000
Belgium,3100000,2000000
Portugal,2700000,2000000
Sweden,2500000,2000000
Greece,2500000,1000000
Austria,2400000,2000000
Switzerland,2400000,1000000
Hungary,2000000,1000000
Finland,1800000,1000000
Norway,1500000,1000000
Denmark,1400000,1000000
Ireland,1300000,1000000
New Zealand,1100000,950000
Slovakia,950000,900000
Puerto Rico,900000,1100000
Cyprus,390000,300000
Luxembourg,200000,200000
Malta,175000,100000
Guam,41500,48000
United States Virgin Islands,21500,34000
Czechia,,2000000
American Samoa,,10000
Northern Mariana Islands,,10000
